decision_step,minute,c_uf,v_buf,c_aver,m_fp,price,q_uf,q_fp,q_fp_cmd,energy_cost_step,total_energy_cost,reward,safety_violation,dry_run_violation,low_conc_violation,low_buffer_fp_guarded,fp_busy,fp_total_cycles
12,60,0.6792033314704895,0.0,0.6792033314704895,0.0,0.46000000834465027,0.0,0.0,6.643121719360352,0.0,0.0,0.0,False,False,False,True,False,0
13,65,0.6811506152153015,0.0,0.6811506152153015,0.0,0.46000000834465027,0.0,0.0,7.864437103271484,0.0,0.0,0.0,False,False,False,True,False,0
14,70,0.683073103427887,0.0,0.683073103427887,0.0,0.46000000834465027,0.0,0.0,7.706325531005859,0.0,0.0,0.0,False,False,False,True,False,0
15,75,0.684971034526825,0.0,0.684971034526825,0.0,0.46000000834465027,0.0,0.0,7.300514221191406,0.0,0.0,0.0,False,False,False,True,False,0
16,80,0.6868449449539185,0.0,0.6868449449539185,0.0,0.46000000834465027,0.0,0.0,7.143903732299805,0.0,0.0,0.0,False,False,False,True,False,0
17,85,0.6886951327323914,0.0,0.6886951327323914,0.0,0.46000000834465027,0.0,0.0,8.099288940429688,0.0,0.0,0.0,False,False,False,True,False,0
18,90,0.6905220150947571,0.0,0.6905220150947571,0.0,0.46000000834465027,0.0,0.0,7.498773574829102,0.0,0.0,0.0,False,False,False,True,False,0
19,95,0.692326009273529,0.0,0.692326009273529,0.0,0.46000000834465027,0.0,0.0,8.028430938720703,0.0,0.0,0.0,False,False,False,True,False,0
20,100,0.6941076517105103,0.0,0.6941076517105103,0.0,0.46000000834465027,0.0,0.0,8.111190795898438,0.0,0.0,0.0,False,False,False,True,False,0
21,105,0.6958675384521484,0.0,0.6958675384521484,0.0,0.46000000834465027,0.0,0.0,8.422319412231445,0.0,0.0,0.0,False,False,False,True,False,0
22,110,0.697606086730957,0.0,0.697606086730957,0.0,0.46000000834465027,0.0,0.0,7.905851364135742,0.0,0.0,0.0,False,False,False,True,False,0
23,115,0.6992262601852417,0.040926121175289154,0.6985782980918884,0.0,0.46000000834465027,0.49111345410346985,0.0,8.257282257080078,1.1500010897661725,1.1500010897661725,-1.0350009807895553,False,False,False,True,False,0
24,120,0.700843870639801,0.08242593705654144,0.6993946433067322,0.0,0.46000000834465027,0.49799782037734985,0.0,8.968935012817383,1.1500011362402072,2.3000022260063795,-1.0350010226161865,False,False,False,True,False,0
25,125,0.7024937272071838,0.1070329025387764,0.699957549571991,0.0,0.46000000834465027,0.29528355598449707,0.0,8.704244613647461,1.1500002368675752,3.450002462873954,-1.0350002131808178,False,False,False,True,False,0
26,130,0.7041125893592834,0.137174591422081,0.7007321119308472,0.0,0.46000000834465027,0.3617003560066223,0.0,8.61526107788086,1.1500004353460778,4.600002898220031,-1.03500039181147,False,False,False,True,False,0
27,135,0.7056484222412109,0.19704769551753998,0.7020458579063416,0.0,0.46000000834465027,0.718477189540863,0.0,8.8282470703125,1.1500034121395215,5.7500063103595505,-1.0350030709255693,False,False,False,True,False,0
28,140,0.7070459723472595,0.31740760803222656,0.7037369012832642,0.0,0.46000000834465027,1.4443190097808838,0.0,9.082530975341797,1.1500277189777233,6.900034029337275,-1.035024947079951,False,False,False,True,False,0
29,145,0.708371639251709,0.4792182147502899,0.7051281929016113,0.0,0.46000000834465027,1.9417271614074707,0.0,9.202217102050781,1.1500673523020868,8.050101381639363,-1.0350606170718781,False,False,False,True,False,0
30,150,0.709701418876648,0.6508599519729614,0.7061988711357117,0.0,0.46000000834465027,2.0597007274627686,0.0,9.254066467285156,1.150080389660487,9.20018177129985,-1.0350723506944384,False,False,False,True,False,0
31,155,0.7110194563865662,0.8354105353355408,0.7071523666381836,0.0,0.46000000834465027,2.2146074771881104,0.0,9.557018280029297,1.1500999259102442,10.350281697210091,-1.0350899333192198,False,False,False,True,False,0
