decision_step,minute,c_uf,v_buf,c_aver,m_fp,price,q_uf,q_fp,q_fp_cmd,energy_cost_step,total_energy_cost,reward,safety_violation,fp_busy,fp_downtime_remain,fp_cycle_mass,fp_total_cycles,fp_batch_triggered
11,55,0.673352837562561,0.04276541620492935,0.673352837562561,3.1197643280029297,0.46000000834465027,2.565924882888794,9.855376243591309,9.855376243591309,1.1597836134366628,12.73770963143782,-900.7452951532697,False,False,0,3.1197643280513203,0,False
12,60,0.6750982403755188,0.04362054169178009,0.6750982403755188,3.422443389892578,0.46000000834465027,2.61723256111145,9.731843948364258,9.731843948364258,1.159435589983226,13.897145221421049,-900.7408130074799,False,False,0,3.422443351556327,0,False
13,65,0.6767908334732056,0.046170674264431,0.6767908334732056,3.742216110229492,0.46000000834465027,2.770240545272827,9.452343940734863,9.452343940734863,1.158690198654291,15.055835420075342,-900.7230483780013,False,False,0,3.742216152343917,0,False
14,70,0.6784893274307251,0.04465664178133011,0.6784893274307251,4.058708190917969,0.46000000834465027,2.679398536682129,9.644325256347656,9.644325256347656,1.1591997532213145,16.215035173296656,-900.7267875671305,False,False,0,4.0587083631125855,0,False
15,75,0.6801899671554565,0.04288693144917488,0.6801899671554565,4.3646931648254395,0.46000000834465027,2.573215961456299,9.894128799438477,9.894128799438477,1.159898966990258,17.374934140286907,-900.7379241696399,False,False,0,4.364693263763987,0,False
16,80,0.6818177700042725,0.04665588587522507,0.6818177700042725,4.691195011138916,0.46000000834465027,2.7993531227111816,9.468522071838379,9.468522071838379,1.1587401214598332,18.533674261746743,-900.7163642044629,False,False,0,4.691195168614894,0,False
17,85,0.6834428310394287,0.045748304575681686,0.6834428310394287,5.019516468048096,0.46000000834465027,2.7448983192443848,9.579178810119629,9.579178810119629,1.1590314398823518,19.6927057016291,-900.714806879943,False,False,0,5.0195165845660314,0,False
18,90,0.6850505471229553,0.045621443539857864,0.6850505471229553,5.347442150115967,0.46000000834465027,2.7372865676879883,9.60942554473877,9.60942554473877,1.159113875434469,20.85181957706357,-900.7152768669101,False,False,0,5.347442205546922,0,False
19,95,0.6866366863250732,0.04577939584851265,0.6866366863250732,5.6777119636535645,0.46000000834465027,2.7467637062072754,9.628683090209961,9.628683090209961,1.159169608632404,22.01098918569597,-900.7129830518682,False,False,0,5.677711801447897,0,False
20,100,0.6881682276725769,0.04867725074291229,0.6881682276725769,6.026625156402588,0.46000000834465027,2.9206349849700928,9.320406913757324,9.320406913757324,1.1583730494697828,23.169362235165757,-900.6936226031821,False,False,0,6.026624942788534,0,False
21,105,0.6897154450416565,0.046351972967386246,0.6897154450416565,6.367842674255371,0.46000000834465027,2.781118392944336,9.590106010437012,9.590106010437012,1.159069362257966,24.32843159742372,-900.7019444850363,False,False,0,6.36784288378443,0,False
22,110,0.6912481784820557,0.04583768546581268,0.6912481784820557,6.704267501831055,0.46000000834465027,2.750261068344116,9.674320220947266,9.674320220947266,1.1592986167070412,25.48773021413076,-900.7069441996651,False,False,0,6.704267439155639,0,False
