minute,c_uf,c_aver,v_buf,m_fp,price,q_uf_actual,q_fp_actual,total_energy_cost,fp_busy
114,0.6989818892384649,0.6989818892384649,0.0,0.0,0.46,0.0,0.0,0.0,False
115,0.6993237872756713,0.6993237872756713,0.0,0.0,0.46,0.0,0.0,0.0,False
116,0.6996648703078155,0.6996648703078155,0.0,0.0,0.46,0.0,0.0,0.0,False
117,0.7000051417487497,0.7000051417487497,0.0,0.0,0.46,0.0,0.0,0.0,False
118,0.7003446050009707,0.7003446050009707,0.0,0.0,0.46,0.0,0.0,0.0,False
119,0.7006832634619956,0.7006832634619956,0.0,0.0,0.46,0.0,0.0,0.0,False
120,0.7010211204923161,0.7010211204923161,0.0,0.0,0.46,0.0,0.0,0.0,False
121,0.7013581793940403,0.7013581793940403,0.0,0.0,0.46,0.0,0.0,0.0,False
122,0.7016944433976791,0.7016944433976791,0.0,0.0,0.46,0.0,0.0,0.0,False
123,0.7020299156550595,0.7020299156550595,0.0,0.0,0.46,0.0,0.0,0.0,False
124,0.7023645992367726,0.7023645992367726,0.0,0.0,0.46,0.0,0.0,0.0,False
125,0.7026984971463495,0.7026984971463495,0.0,0.0,0.46,0.0,0.0,0.0,False
126,0.7030316123314935,0.7030316123314935,0.0,0.0,0.46,0.0,0.0,0.0,False
127,0.703363947692967,0.703363947692967,0.0,0.0,0.46,0.0,0.0,0.0,False
128,0.7036955060916102,0.7036955060916102,0.0,0.0,0.46,0.0,0.0,0.0,False
129,0.7040262903538823,0.7040262903538823,0.0,0.0,0.46,0.0,0.0,0.0,False
130,0.7043563032313228,0.7043563032313228,0.0,0.0,0.46,0.0,0.0,0.0,False
131,0.7046855473766177,0.7046855473766177,0.0,0.0,0.46,0.0,0.0,0.0,False
132,0.7050140253319553,0.7050140253319553,0.0,0.0,0.46,0.0,0.0,0.0,False
133,0.7053417395262912,0.7053417395262912,0.0,0.0,0.46,0.0,0.0,0.0,False
134,0.7056686922788892,0.7056686922788892,0.0,0.0,0.46,0.0,0.0,0.0,False
135,0.7059948857999192,0.7059948857999192,0.0,0.0,0.46,0.0,0.0,0.0,False
136,0.7063203221965538,0.7063203221965538,0.0,0.0,0.46,0.0,0.0,0.0,False
137,0.7066450034826687,0.7066450034826687,0.0,0.0,0.46,0.0,0.0,0.0,False
138,0.7069689315907124,0.7069689315907124,0.0,0.0,0.46,0.0,0.0,0.0,False
139,0.7072921083846702,0.7072921083846702,0.0,0.0,0.46,0.0,0.0,0.0,False
140,0.7076145357309181,0.7076145357309181,0.0,0.0,0.46,0.0,0.0,0.0,False
141,0.7079362155463516,0.7079362155463516,0.0,0.0,0.46,0.0,0.0,0.0,False
142,0.7082571498291809,0.7082571498291809,0.0,0.0,0.46,0.0,0.0,0.0,False
143,0.708577340676672,0.708577340676672,0.0,0.0,0.46,0.0,0.0,0.0,False
144,0.708896790293212,0.708896790293212,0.0,0.0,0.46,0.0,0.0,0.0,False
145,0.7092155010606392,0.7092155010606392,0.0,0.0,0.46,0.0,0.0,0.0,False
146,0.7095334755765862,0.7095334755765862,0.0,0.0,0.46,0.0,0.0,0.0,False
147,0.7098507166693973,0.7098507166693973,0.0,0.0,0.46,0.0,0.0,0.0,False
148,0.7101672273963014,0.7101672273963014,0.0,0.0,0.46,0.0,0.0,0.0,False
149,0.7104830110300167,0.7104830110300167,0.0,0.0,0.46,0.0,0.0,0.0,False
